size,time_ms,swap_count_estimate,ran,sorted,note
50,0.106,610,true,true,
100,0.013,2881,true,true,
200,0.033,9540,true,true,
300,0.076,21412,true,true,
400,0.132,38965,true,true,
500,0.220,62653,true,true,
750,0.433,140961,true,true,
1000,0.682,250133,true,true,
1500,1.617,569794,true,true,
2000,3.105,1018669,true,true,
2500,4.610,1535486,true,true,
3000,6.823,2293023,true,true,
3500,9.781,3101542,true,true,
4000,12.352,3946594,true,true,
4500,15.702,5045849,true,true,
5000,19.851,6285692,true,true,
