algo,size,time_ms,swap_count,inversion_count,ran,sorted,note
RecursiveBubble.bubbleSort,50,2.324,610,610,true,true,
RecursiveBubble.bubbleSort,100,0.285,2881,2881,true,true,
RecursiveBubble.bubbleSort,200,0.862,9540,9540,true,true,
RecursiveBubble.bubbleSort,300,1.192,21412,21412,true,true,
RecursiveBubble.bubbleSort,400,2.107,38965,38965,true,true,
RecursiveBubble.bubbleSort,500,2.046,62653,62653,true,true,
RecursiveBubble.bubbleSort,750,1.048,140961,140961,true,true,
RecursiveBubble.bubbleSort,1000,4.322,250133,250133,true,true,
RecursiveBubble.bubbleSort,1500,3.660,569794,569794,true,true,
RecursiveBubble.bubbleSort,2000,6.815,1018669,1018669,true,true,
RecursiveBubble.bubbleSort,2500,10.400,1535486,1535486,true,true,
RecursiveBubble.bubbleSort,3000,15.034,2293023,2293023,true,true,
RecursiveBubble.bubbleSort,3500,20.692,3101542,3101542,true,true,
RecursiveBubble.bubbleSort,4000,26.905,3946594,3946594,true,true,
RecursiveBubble.bubbleSort,4500,34.390,5045849,5045849,true,true,
RecursiveBubble.bubbleSort,5000,43.018,6285692,6285692,true,true,
RecursiveInsertion.insertionSort,50,0.152,729,680,true,true,
RecursiveInsertion.insertionSort,100,0.075,2703,2604,true,true,
RecursiveInsertion.insertionSort,200,0.071,10655,10456,true,true,
RecursiveInsertion.insertionSort,300,0.135,23075,22776,true,true,
RecursiveInsertion.insertionSort,400,0.253,39943,39544,true,true,
RecursiveInsertion.insertionSort,500,0.267,61023,60524,true,true,
RecursiveInsertion.insertionSort,750,0.366,139837,139088,true,true,
RecursiveInsertion.insertionSort,1000,0.706,258820,257821,true,true,
RecursiveInsertion.insertionSort,1500,1.594,548006,546507,true,true,
RecursiveInsertion.insertionSort,2000,2.978,1002790,1000791,true,true,
RecursiveInsertion.insertionSort,2500,4.858,1579194,1576695,true,true,
RecursiveInsertion.insertionSort,3000,7.024,2193304,2190305,true,true,
RecursiveInsertion.insertionSort,3500,9.938,3069286,3065787,true,true,
RecursiveInsertion.insertionSort,4000,13.763,4027645,4023646,true,true,
RecursiveInsertion.insertionSort,4500,17.495,5098896,5094397,true,true,
RecursiveInsertion.insertionSort,5000,20.652,6265752,6260753,true,true,
RecursiveMergeSort.mergeSort,50,0.103,572,639,true,true,
RecursiveMergeSort.mergeSort,100,0.065,1344,2397,true,true,
RecursiveMergeSort.mergeSort,200,0.127,3088,9741,true,true,
RecursiveMergeSort.mergeSort,300,0.198,4976,21140,true,true,
RecursiveMergeSort.mergeSort,400,0.196,6976,43172,true,true,
RecursiveMergeSort.mergeSort,500,0.078,8976,61781,true,true,
RecursiveMergeSort.mergeSort,750,0.076,14452,139880,true,true,
RecursiveMergeSort.mergeSort,1000,0.107,19952,247707,true,true,
RecursiveMergeSort.mergeSort,1500,0.160,31904,578230,true,true,
RecursiveMergeSort.mergeSort,2000,0.239,43904,979385,true,true,
RecursiveMergeSort.mergeSort,2500,0.296,56808,1543007,true,true,
RecursiveMergeSort.mergeSort,3000,0.366,69808,2232844,true,true,
RecursiveMergeSort.mergeSort,3500,0.421,82808,3074159,true,true,
RecursiveMergeSort.mergeSort,4000,0.515,95808,4083061,true,true,
RecursiveMergeSort.mergeSort,4500,0.567,109616,5140200,true,true,
RecursiveMergeSort.mergeSort,5000,0.633,123616,6252466,true,true,
RecursiveSelection.selectionSort,50,0.087,44,558,true,true,
RecursiveSelection.selectionSort,100,0.070,93,2305,true,true,
RecursiveSelection.selectionSort,200,0.093,194,9934,true,true,
RecursiveSelection.selectionSort,300,0.215,295,21983,true,true,
RecursiveSelection.selectionSort,400,0.377,396,40474,true,true,
RecursiveSelection.selectionSort,500,0.591,495,63843,true,true,
RecursiveSelection.selectionSort,750,1.365,744,140962,true,true,
RecursiveSelection.selectionSort,1000,2.459,991,243553,true,true,
RecursiveSelection.selectionSort,1500,5.677,1490,569214,true,true,
RecursiveSelection.selectionSort,2000,6.651,1988,988766,true,true,
RecursiveSelection.selectionSort,2500,10.550,2490,1533614,true,true,
RecursiveSelection.selectionSort,3000,15.352,2990,2228702,true,true,
RecursiveSelection.selectionSort,3500,18.938,3493,3025620,true,true,
RecursiveSelection.selectionSort,4000,25.516,3989,3979521,true,true,
RecursiveSelection.selectionSort,4500,33.468,4486,5150013,true,true,
RecursiveSelection.selectionSort,5000,41.991,4991,6236397,true,true,
RecursiveShellSort.shellSort,50,0.152,346,589,true,true,
RecursiveShellSort.shellSort,100,0.046,877,2384,true,true,
RecursiveShellSort.shellSort,200,0.064,2455,10722,true,true,
RecursiveShellSort.shellSort,300,0.046,3757,21503,true,true,
RecursiveShellSort.shellSort,400,0.038,5211,42136,true,true,
RecursiveShellSort.shellSort,500,0.058,6563,64293,true,true,
RecursiveShellSort.shellSort,750,0.069,11395,141402,true,true,
RecursiveShellSort.shellSort,1000,0.115,15810,253837,true,true,
RecursiveShellSort.shellSort,1500,0.181,25777,555985,true,true,
RecursiveShellSort.shellSort,2000,0.208,36580,1007191,true,true,
RecursiveShellSort.shellSort,2500,0.273,51037,1537416,true,true,
RecursiveShellSort.shellSort,3000,0.340,61234,2248315,true,true,
RecursiveShellSort.shellSort,3500,0.393,69777,3007939,true,true,
RecursiveShellSort.shellSort,4000,0.462,88357,4006865,true,true,
RecursiveShellSort.shellSort,4500,0.532,101369,5053652,true,true,
RecursiveShellSort.shellSort,5000,0.456,117808,6356759,true,true,
